word_id,root_id,sequence,sequence_2
1887,4198,2,NULL
1256,842,3,NULL
1888,784,2,NULL
1888,4085,3,NULL
1889,113,1,NULL
1889,782,2,NULL
8698,987,2,NULL
1621,113,1,1
1890,1137,2,NULL
957,842,3,NULL
957,1137,2,NULL
957,91,1,NULL
1891,91,1,NULL
1891,338,2,NULL
594,1616,2,NULL
594,91,1,NULL
594,1139,3,NULL
1892,91,1,NULL
1892,585,2,NULL
1892,987,3,NULL
1893,1141,2,NULL
1893,91,1,NULL
724,155,1,NULL
1894,1072,2,NULL
1895,822,2,NULL
1895,248,1,NULL
1966,20,1,NULL
1966,722,3,NULL
1966,248,2,NULL
1897,338,3,NULL
1897,248,2,NULL
1897,20,1,NULL
1898,1742,2,NULL
1898,100,1,NULL
1898,987,3,NULL
1900,1147,2,NULL
1900,100,1,NULL
1900,987,3,NULL
1901,2250,2,NULL
1901,100,1,NULL
1902,100,1,NULL
1902,1463,2,NULL
1904,43,1,NULL
1904,218,2,NULL
1926,59,1,NULL
1926,782,2,NULL
1906,43,1,NULL
1906,1152,2,NULL
1907,987,3,NULL
1907,43,1,NULL
705,881,3,NULL
705,1154,1,NULL
705,2127,2,NULL
1909,271,2,NULL
1909,4198,1,NULL
1253,297,1,NULL
1253,271,2,NULL
1253,987,3,NULL
1910,271,1,NULL
1910,1158,2,NULL
1911,450,2,NULL
1911,1117,1,NULL
1912,1441,2,NULL
1912,1117,1,NULL
1913,1160,2,NULL
1913,1112,1,NULL
1914,959,3,NULL
1914,584,2,NULL
1915,2198,2,NULL
1915,1162,3,NULL
1916,1163,2,NULL
1916,21,1,NULL
1917,21,1,NULL
1917,735,2,NULL
1370,569,2,NULL
1370,822,3,NULL
1370,1031,1,NULL
772,529,1,NULL
772,959,3,NULL
799,959,3,NULL
773,1165,2,NULL
773,766,1,NULL
774,340,2,NULL
774,856,3,NULL
1417,200,2,NULL
1417,701,1,NULL
1919,1167,2,2
1919,306,1,1
1920,809,2,1
1920,306,1,2
1640,1442,2,2
1640,762,1,1
1579,1442,3,NULL
1579,1168,2,NULL
781,662,1,2
781,1170,2,1
791,1053,1,NULL
791,1171,2,NULL
1921,809,2,NULL
1921,1053,1,NULL
769,1172,2,NULL
769,222,1,NULL
1519,222,2,NULL
1519,510,1,NULL
768,594,2,NULL
768,72,1,NULL
1923,59,1,NULL
1923,1459,2,NULL
1924,1173,2,1
1924,59,1,2
1925,59,1,NULL
1925,987,3,NULL
1925,1820,2,NULL
1591,59,1,NULL
1591,687,2,NULL
1595,696,1,NULL
1595,740,2,NULL
1554,740,2,NULL
1958,609,1,NULL
950,535,1,NULL
950,1168,2,NULL
751,941,2,NULL
751,535,1,NULL
1558,370,2,NULL
1558,89,1,NULL
1927,908,2,NULL
1927,2318,1,NULL
1928,1014,1,NULL
1929,4085,3,NULL
1929,311,2,NULL
1930,40,1,NULL
1930,1038,2,NULL
1930,3526,3,NULL
1564,636,2,NULL
1564,1177,1,NULL
1931,4085,3,NULL
1931,505,2,NULL
1932,1152,2,NULL
1385,100,1,NULL
1933,1621,2,NULL
1385,133,2,NULL
1483,374,1,NULL
1934,2098,2,2
1934,121,1,1
1935,809,3,NULL
1935,1181,2,NULL
1935,55,1,NULL
1004,1182,2,NULL
1004,55,1,NULL
1004,1103,3,NULL
1936,943,3,NULL
1936,2573,2,NULL
1936,1183,1,NULL
1937,803,3,2
1937,1185,2,3
1937,1183,1,1
1967,4198,3,NULL
1967,1183,1,NULL
1967,868,4,NULL
1967,100,2,NULL
1938,636,2,NULL
1938,1186,1,NULL
1939,759,2,NULL
1939,1188,1,NULL
1610,21,1,NULL
